,ticker,figi,type,name
265,ECPG,BBG000F369C7,shares,Encore Capital Group Inc
266,291,BBG000BKWM80,shares,China Resources Beer
267,HIG,BBG000G0Z878,shares,Hartford Financial Services
268,SAIC,BBG003BW05K6,shares,Science Applications Internati
269,WAT,BBG000FQRVM3,shares,Waters
270,ACGL,BBG000HXNN20,shares,Arch Capital Group
271,SITM,BBG00QNSY1H7,shares,SiTime
272,O,BBG000DHPN63,shares,Realty Income REIT
273,CDW,BBG001P63B80,shares,CDW Corp
274,DGX,BBG000BN84F3,shares,Quest Diagnostics
275,ZM,BBG0042V6JM8,shares,Zoom Video Communications Inc
276,VTS,BBG01B9G0GS3,shares,Vitesse Energy
277,UHS,BBG000CB8Q50,shares,Universal Health Services
278,HOG,BBG000BKZTP3,shares,Harley-Davidson
279,WELL,BBG000BKY1G5,shares,Welltower REIT
280,POWI,BBG000BTT3D1,shares,Power Integrations Inc
281,KTB,BBG00LPTHYD5,shares,Kontoor Brands Inc
282,PAG,BBG000H6K1B0,shares,Penske Automotive Group
283,MED,BBG000BWBW76,shares,Medifast Inc
284,UGI,BBG000BVYN55,shares,UGI Corp
285,SLB,BBG000BT41Q8,shares,Schlumberger
286,LPSN,BBG000BSV0W5,shares,LivePerson Inc
287,TM,BBG000BPH299,shares,Toyota Motor Corp
288,ENSG,BBG000K1T9L0,shares,Ensign Group Inc
289,GTLB,BBG00DHTYPH8,shares,GitLab
290,386,BBG000MQF8G6,shares,China Petroleum & Chemical Corp
291,BXP,BBG000BS5CM9,shares,Boston Properties REIT
292,TEL,BBG000RGM5P1,shares,TE Connectivity
293,EIX,BBG000D7RKJ5,shares,Edison International
294,6185,BBG00NN6QG15,shares,CanSino Biologics
295,JBHT,BBG000BMDBZ1,shares,JB Hunt
296,ODFL,BBG000CHSS88,shares,Old Dominion Freight Line Inc
297,SPNS,BBG000G3YP84,shares,Sapiens International Corporation N.V.
298,NEWR,BBG001NFKJ68,shares,New Relic Inc
299,AXSM,BBG00B6G7GL7,shares,Axsome Therapeutics Inc
300,PLL,BBG00YJ7NBQ1,shares,Piedmont Lithium
301,FCEL,BBG000HQ1LB3,shares,FuelCell Energy
302,PRFT,BBG000BVXFK6,shares,Perficient Inc
303,RKT,BBG00VY1MYW7,shares,Rocket Companies
304,VIRT,BBG0064N2T78,shares,"Virtu Financial, Inc."
305,ASH,BBG00D0Y81M1,shares,Ashland Inc
306,GEVO,BBG000P7S7L7,shares,Gevo
307,ABNB,BBG001Y2XS07,shares,"Airbnb, Inc"
308,ETLN,BBG001M2SC01,shares,Etalon Group PLC ГДР
309,ET,BBG000BM2FL9,shares,Energy Transfer LP
310,AXON,BBG000BHJWG1,shares,Axon Enterprise Inc
311,2269,BBG00GTY47H0,shares,Wuxi Biologics
312,RIDE,BBG00N6NL712,shares,Lordstown Motors Corp
313,APPN,BBG001C7PMJ2,shares,Appian Corp
314,700,BBG000BJ35N5,shares,Tencent Holdings
315,PSMT,BBG000BTKR92,shares,"PriceSmart, Inc."
316,VREX,BBG00CZNLR47,shares,Varex Imaging Corp
317,TRMB,BBG000BNPS52,shares,Trimble Inc
318,WBD,BBG011386VF4,shares,Warner Bros. Discovery
319,ROST,BBG000BSBZH7,shares,Ross Stores
320,CTAS,BBG000H3YXF8,shares,Cintas
321,SHOP,BBG008HBD923,shares,Shopify Inc
322,COTY,BBG000F395V1,shares,Coty
323,ITGR,BBG000BW6JV4,shares,Integer Holdings Corp
324,YUM,BBG000BH3GZ2,shares,Yum!
325,TKR,BBG000BV95H9,shares,Timken Co The
326,HCSG,BBG000BKYVF0,shares,Healthcare Services Group Inc
327,RTKMP,BBG004S685M3,shares,Ростелеком - Привилегированные акции
328,FUL,BBG000BJZ7V7,shares,HB Fuller Co
329,GEMC,BBG011MCM288,shares,United medical group
330,ALRM,BBG007GNPYY7,shares,Alarm com Holdings Inc
331,NSP,BBG000BJ41X2,shares,InsperIty Inc
332,PGR,BBG000BR37X2,shares,Progressive
333,TRHC,BBG00BT7PPY8,shares,Tabula Rasa HealthCare In
334,KRC,BBG000BLMXN8,shares,Kilroy Realty Corp REIT
335,CWT,BBG000D8KTN6,shares,California Water Service
336,KZOSP,BBG0029SG1C1,shares,ПАО «КАЗАНЬОРГСИНТЕЗ» - акции привилегированные
337,AXP,BBG000BCQZS4,shares,American Express
338,A,BBG000C2V3D6,shares,Agilent Technologies
339,EBS,BBG000GW06J7,shares,Emergent BioSolutions Inc
340,CPT,BBG000BB0V03,shares,Camden Property REIT
341,W,BBG001B17MV2,shares,Wayfair Inc
342,HOLX,BBG000C3NTN5,shares,Hologic
343,ANIK,BBG000BBKZD8,shares,Anika Therapeutics Inc
344,GEF,BBG000BLFNC0,shares,Greif Inc
345,FRPT,BBG001D0HB36,shares,Freshpet Inc
346,NI,BBG000BPZBB6,shares,NiSource Inc
347,TMHC,BBG003PGJHP5,shares,Taylor Morrison Home Corp
348,BXMT,BBG000BGKJ70,shares,Blackstone Mortgage Trust REIT
349,SNOW,BBG007DHGNJ4,shares,Snowflake Inc
350,PATH,BBG00GKS1G03,shares,"UiPath, Inc."
351,SBH,BBG000LR8515,shares,Sally Beauty Holdings Inc
352,WUSH,TCS00A105EX7,shares,Whoosh
353,COP,BBG000BQQH30,shares,ConocoPhillips
